State,Nightly Cost,Max Consecutive Nights,Note,Source
Alabama,$25-$45,14,"31 nights Nov 1 - Mar 31 at some parks",https://www.alapark.com/camping
Alaska,$10-$45,15,"4-15 nights depending on the campground; longer needs a special-use permit",https://dnr.alaska.gov/parks/asp/fees.htm
Arizona,$25-$50,14,"14 nights per 30-day period per park, per household; manager may extend",https://azstateparks.com/reservation-policies
Arkansas,$12-$42,14,"Superintendent may add a 7-day extension Apr-Oct when not full",https://codeofarrules.arkansas.gov/Rules/Rule?levelType=section&titleID=22&chapterID=195&subChapterID=240&partID=813&subPartID=6651&sectionID=43230
California,$20-$58,7,"7 consecutive nights at most parks, 30 nights per calendar year; 48-hour break after",https://www.parks.ca.gov/?page_id=1029
Colorado,$13-$41,14,"14 nights per 28-day period, consecutive or not; entrance fee extra",https://cpw.state.co.us/camping
Connecticut,$17 resident / $27 non-resident,14,"21 nights at Hammonasset Beach and Rocky Neck; 5-day break after every stay",https://portal.ct.gov/DEEP/State-Parks/Parking-and-Camping-Fees---CT-State-Parks-and-Forests
Delaware,$20-$45,14,"14 days for cabins; state forest sites (Blackbird, Redden) are 3 nights",https://www.destateparks.com/passes-permits-and-fees/
Florida,$16-$42,14,"Manager may extend to 28 nights total; then 3 nights out of the park",https://www.floridastateparks.org/reservation-information
Georgia,$23-$50,14,"3-night break required before returning to the same park",https://gastateparks.org/ReservationPolicies
Hawaii,$20 resident / $30 non-resident,5,"Shorter at some parks; 30-day wait before staying in the same park again",https://dlnr.hawaii.gov/dsp/camping-lodging/hawaii/
Idaho,$17-$84,14,"Non-resident rates are higher at several parks",https://parksandrecreation.idaho.gov/park-activity/camping/
Illinois,$11-$35,14,"14 nights within any 30-day period",https://dnr.illinois.gov/parks/camp/reservation-information.html
Indiana,$23-$65,14,"Lower rates Sunday-Wednesday",https://www.in.gov/dnr/state-parks/rates-and-fees/camping-restrictions
Iowa,$9-$25,14,"3 nights out of the park after; Lake Manawa and Walnut Woods are 14 per 30 days",https://www.iowadnr.gov/places-go/state-parks/make-reservation/overnight-camping
Kansas,$15-$40,14,"Plus $11-$15 utility fee; one 14-day extension with written permission, then a 5-day absence",https://www.ksoutdoors.gov/licenses-permits-fees/kansas-state-park-entrance-and-camping-fees
Kentucky,$15-$45,14,"Longer only with campground management approval",https://parks.ky.gov/things-to-do/lodging/reserve-a-campground
Louisiana,$28-$33,15,"Must vacate 7 consecutive days after a 15-day stay",https://www.lastateparks.com/fees-and-facilities
Maine,$15-$35 resident / $25-$45 non-resident,14,"14 nights cumulative per campground, last Saturday in June to third Saturday in August; no limit off season",https://www.maine.gov/dacf/parks/camping/reservations/campground_fees.shtml
Maryland,$20-$55,14,"14 cumulative nights in any 21-day period",https://parkreservations.maryland.gov/articles/camping/maryland-park-service-policies-and-rules
Massachusetts,$17-$24 resident / $54-$70 non-resident,14,"14 cumulative days in one park between Memorial Day and Labor Day",https://www.mass.gov/doc/dcr-campground-regulations/download
Michigan,$10-$45,15,"Peak season May 15 - Sept 15; 5-night break before returning to the same park",https://www.michigan.gov/dnr/places/state-parks/rules
Minnesota,$15-$35,14,"14 nights early May to mid-September, 21 nights the rest of the year",https://www.dnr.state.mn.us/reserve-faq/index.html
Mississippi,$17-$35,14,"Monthly camping available at some parks",https://www.mdwfp.com/parks-destinations/mississippi-state-park-rules-regulations
Missouri,$13-$25,15,"15 days within any 30 consecutive days at one park",https://mostateparks.com/activity/camping/camping-fees
Montana,$4-$34,7,"Cut from 14 to 7 nights per 30-day period for the 2024 season",https://fwp.mt.gov/stateparks/fees-and-general-information
Nebraska,$10-$35,14,"14 consecutive days in any 30-day period; off-season rates $5 less",https://outdoornebraska.gov/parks/go-camping/campground-policy/
Nevada,$15-$20 resident / $20-$25 non-resident,14,"Plus $10 for hookups; 14 nights in any 30-day period, first come first served",https://parks.nv.gov/fees
New Hampshire,$23-$75,14,"14 consecutive or cumulative days Memorial Day to Labor Day at the RV parks",https://www.nhstateparks.org/find-camping-lodging/camping-policies
New Jersey,$20-$30 resident / $25-$35 non-resident,14,"Two-night minimum; extra stays in 7-night blocks with 7 nights out, 40 nights a year",https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-7-2-6-7
New Mexico,$10-$40,14,"14 days per 20-day period Oct 1 - Apr 30, 7 days per 20 in peak season",https://www.emnrd.nm.gov/spd/fees-permits/
New York,$17-$40,14,"48-hour break after; 14 cumulative nights July 1 - Labor Day",https://parks.ny.gov/camping/fees-policies
North Carolina,$20-$30,14,"14 nights per 30-day period, then 16 nights out of the park",https://www.ncparks.gov/about-us/state-parks-reservation-rates-and-activity-fees
North Dakota,$15-$40,14,"14 nights in any 30-day period; vehicle entrance permit required",https://www.parkrec.nd.gov/stay/camping
Ohio,$15-$40,14,"14 days in any 30-day period",https://ohiodnr.gov/discover-and-learn/safety-conservation/about-odnr/division-parks-watercraft/stay-overnight/rates/camping-rates
Oklahoma,$12-$30,14,"Extensions at the park manager's discretion",https://www.travelok.com/state-parks/reservation-guidelines
Oregon,$21-$52,14,"14 nights within any 30-night period in one campground",https://stateparks.oregon.gov/index.cfm?do=visit.faq
Pennsylvania,$10-$35,14,"14 nights Memorial Day to Labor Day, 21 nights the rest of the year; 48 hours out between stays",https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-parks/state-park-prices/camping
